序号,代码,开发区名称,省份,城市/区县,批准级别,开发区类型,批准时间,核准面积_公顷,主导产业,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,格式化地址,地理编码精度,状态,dist_to_coast_km,pop_density_at_point,pop_density_buffer_mean,pop_density_buffer_sum,forest_treecover2000_buffer_mean,forest_loss_total_buffer_sum,forest_loss_pre_designation,forest_loss_post_designation,forest_loss_post_minus_pre,built_1990_at_point,built_1990_buffer_mean,built_1990_buffer_sum,built_2000_at_point,built_2000_buffer_mean,built_2000_buffer_sum,built_2010_at_point,built_2010_buffer_mean,built_2010_buffer_sum,built_2015_at_point,built_2015_buffer_mean,built_2015_buffer_sum,built_2020_at_point,built_2020_buffer_mean,built_2020_buffer_sum,built_pre_designation_year,built_post_designation_year,built_pre_designation,built_post_designation,built_change_post_minus_pre
530,G156020,满洲里中俄互市贸易区,内蒙古自治区,满洲里中俄,国务院,其他类型开发区,1992.04,20.96,轻工、民间贸易,134.014041,46.807653,134.006572,46.805356,黑龙江省双鸭山市饶河县中俄互市贸易区,住宅区,ok,1121.685,19.1327,17.0267,32793.3354,3.1092,266.0,0.0,266.0,266.0,82198.0,15987.396,1614727.0,146098.0,20516.2079,2072137.0,233291.0,25326.4455,2557971.0,274315.0,28129.7327,2841103.0,303117.0,30837.1881,3114556.0,1990,2000,1614727.0,2072137.0,457410.0
531,G216034,中德（沈阳）高端装备制造产业园,辽宁省,中德（沈阳）高端装备制造,国务院,其他类型开发区,2015.12,3553.0,智能制造、装备制造、汽车,123.248485,41.748175,123.242681,41.74592,辽宁省沈阳市铁西区中德(沈阳)高端装备制造产业园,住宅区,ok,147.311,39.9706,20.738,243318.5343,0.0389,1069.0,264.0,805.0,541.0,70029.0,55195.6635,5740349.0,219330.0,104208.7115,10837706.0,372524.0,191487.0865,19914657.0,435271.0,244829.4231,25462260.0,450424.0,278363.3077,28949784.0,2015,2020,25462260.0,28949784.0,3487524.0
532,G216022,沈阳海峡两岸科技工业园,辽宁省,沈阳,国务院,其他类型开发区,1995.09,500.0,计算机及软件、汽车及零部件、环保,123.464675,41.677576,123.458631,41.675224,辽宁省沈阳市,市,ok,153.527,26.1857,23.6121,239545.1673,0.0177,442.0,0.0,442.0,442.0,0.0,27109.0192,2819338.0,1028.0,48103.1923,5002732.0,62667.0,95588.1923,9941172.0,132197.0,131922.3462,13719924.0,170125.0,167760.5769,17447100.0,1990,2000,2819338.0,5002732.0,2183394.0
533,G216001,大连金石滩国家旅游度假区,辽宁省,大连金石滩,国务院,其他类型开发区,1992.10,1360.0,滨海运动、娱乐、文化旅游,122.002284,39.076956,121.997222,39.075885,辽宁省大连市金州区金石滩国家旅游度假区,住宅区,ok,1.494,30.4808,11.1238,58700.3024,1.6646,357.0,0.0,357.0,357.0,7860.0,3447.802,348228.0,24088.0,9893.1386,999207.0,31776.0,22347.1881,2257066.0,40629.0,32257.4158,3257999.0,63361.0,46852.2277,4732075.0,1990,2000,348228.0,999207.0,650979.0
534,G236021,中俄东宁—波尔塔夫卡互市贸易区,黑龙江省,中俄东宁—波尔塔夫卡,国务院,其他类型开发区,1992.09,275.4,民间贸易、木材加工、轻工产品加工,130.387203,42.833615,130.380008,42.830946,吉林省延边朝鲜族自治州珲春市互市贸易区(公交站),公交地铁站点,ok,630.13,32.1371,20.5599,113284.9407,0.7851,341.0,0.0,341.0,341.0,35840.0,42802.4615,4451456.0,319395.0,67537.9423,7023946.0,384269.0,82663.8846,8597044.0,413294.0,92925.0385,9664204.0,428645.0,109184.6154,11355200.0,1990,2000,4451456.0,7023946.0,2572490.0
535,G316033,上海陆家嘴金融贸易区,上海市,陆家嘴金融贸易区,国务院,其他类型开发区,1990.06,3178.0,金融、航运、商务、文化旅游,121.544498,31.202808,121.540217,31.204962,上海市浦东新区上海陆家嘴金融贸易区,住宅区,ok,16.806,157.6736,135.8685,1333684.9554,0.035,1.0,0.0,1.0,1.0,177015.0,168146.58,16814658.0,285098.0,234197.26,23419726.0,293704.0,258419.73,25841973.0,297718.0,270779.11,27077911.0,300579.0,278302.57,27830257.0,1990,2000,16814658.0,23419726.0,6605068.0
536,G316002,上海佘山国家旅游度假区,上海市,佘山,国务院,其他类型开发区,1995.06,6408.0,旅游休闲、商业服务、文化创意,121.175827,31.077485,121.171324,31.079501,上海市松江区佘山国家旅游度假区,兴趣点,ok,41.478,,40.9017,165079.4327,0.7092,313.0,0.0,313.0,313.0,12399.0,12352.4712,1284657.0,15280.0,25677.9423,2670506.0,21625.0,63043.6442,6556539.0,24788.0,87721.4519,9123031.0,27291.0,100920.7019,10495753.0,1990,2000,1284657.0,2670506.0,1385849.0
537,G326024,南京海峡两岸科技工业园,江苏省,南京,国务院,其他类型开发区,1995.09,500.0,智能制造、科技服务、生命健康,118.650527,32.072187,118.645458,32.074362,江苏省南京市浦口区南京海峡两岸科技工业园(天浦路),住宅区,ok,91.648,54.9923,34.3836,228547.9655,3.1252,751.0,0.0,751.0,751.0,22867.0,30467.596,3016292.0,98266.0,45317.697,4486452.0,159404.0,80511.1313,7970602.0,188086.0,102209.4444,10118735.0,192631.0,115526.5556,11437129.0,1990,2000,3016292.0,4486452.0,1470160.0
538,G326003,无锡太湖国家旅游度假区,江苏省,无锡太湖,国务院,其他类型开发区,1992.10,1350.0,文化旅游、生物医药、机械,120.124072,31.434577,120.119199,31.436373,江苏省无锡市滨湖区太湖国家旅游度假区,住宅区,ok,52.175,24.1144,28.2212,77777.7126,4.414,769.0,0.0,769.0,769.0,10616.0,10391.64,1039164.0,15812.0,16455.54,1645554.0,31445.0,26603.65,2660365.0,39717.0,33818.36,3381836.0,53448.0,36915.13,3691513.0,1990,2000,1039164.0,1645554.0,606390.0
539,G326004,苏州太湖国家旅游度假区,江苏省,苏州太湖,国务院,其他类型开发区,1992.10,1120.0,文化旅游,120.415498,31.212199,120.410839,31.214061,江苏省苏州市吴中区苏州太湖国家旅游度假区,兴趣点,ok,72.672,32.1181,24.8925,55435.5776,2.907,630.0,0.0,630.0,630.0,13965.0,6244.6733,630712.0,24569.0,12725.6733,1285293.0,64117.0,27526.6238,2780189.0,91374.0,37068.901,3743959.0,101062.0,42984.0495,4341389.0,1990,2000,630712.0,1285293.0,654581.0
